[SYSTEM INSTANCES ENGINE TEST]


Categories [49]
-------------------------------------+--------------------------------------
Category Guid                        | Name
-------------------------------------+--------------------------------------
bfd25178-601a-4c58-9309-2da9e11c70e3 | Alarm configuration
ca50b792-d182-424a-a638-e7de46cd202c | Bookmarks
e35de37d-ba0a-4096-bd8d-77e39cdf85bc | Breakpoints
17416da3-1630-4ab1-b220-0325594825f3 | Browse Project
414200ce-c35b-4217-93a1-2d86f73732b0 | Build
4ebc6691-b26b-4788-97ab-6ef6327744d3 | C Integration
d5742efc-f5e7-4afa-80aa-70f0d0946949 | Cam
f5614d69-b692-4b91-ba8b-f64121dda81c | CFC
0e4fe93e-ceda-46d8-abe8-4cfa20d57ec5 | Clipboard
23226e40-e990-44dc-a09f-0c18732e9f6b | CNC
42645d08-79c8-4c26-8194-d34a74605945 | Composer
ae822353-0192-4008-bef3-8cf9031d41dc | Core Dump
753efa0c-dbb9-4398-ba3a-d87152304d83 | Data Sources
033a8621-611f-4ddb-a98e-6979055a41f1 | Declaration
35b7bdbb-0cde-4d4a-a81b-09a7cb73d0a7 | Device Communication
61aca6d6-f298-47be-972e-99601e7e9410 | Devices
36eeca66-590c-46d1-a8af-354162cbd2ec | Documentation
9a3ac02c-24aa-4a7b-9718-e8f20eda26a0 | FBD/LD/IL
933fd0d8-81ea-4955-b480-24146f7ddd40 | File
d805d57c-8b85-4d83-9437-bcc81c4dfca3 | Find/Replace
82cbba3f-6998-4468-bd65-97e38f6006fa | GVL Commands
ab91ad5b-a221-457b-b0a7-04dec62342cb | Help
1c2e9f16-9d60-4b9b-b468-49a44156482e | Image Pool
5d307819-752a-4ea4-bcac-d96d23491133 | Installation
ad0b4c59-2bdc-4c59-af24-0347972cc4e8 | Library Manager
6d26a0cc-3bfd-4dc8-9df0-7617b5fe4001 | Message View
02abb186-7154-49dd-9b61-6357ac0d60ee | Objects
8ddbe3c7-2966-4ba9-a27b-7db46265241d | Online
76e0174b-ce4e-4c6c-8779-5dcb5e11bdc5 | PAM Developer
a5af936c-aeb4-4467-ad07-a8f333e08490 | Persistent variables
1ad19a5c-cc4a-400a-ba50-29328b8eefb8 | Preferences
21ed0fee-175d-48ac-afb4-18a6b1fd884f | Print
2a491184-c7c5-4794-8e34-f2c1642fca4c | Project Localization
737b5cab-ca01-49b1-b766-1c41d35645df | Recipe commands
9b02afe2-8120-4067-8d26-04a648a1e608 | Redundancy commands
b0461969-9735-498f-b05d-4520385bede5 | Refactoring
4466600d-c2d6-4ac5-9c66-b33d4688adaa | ScriptEngine Commands
9e811437-f3bd-4e49-b879-480f1dfbdf81 | SFC
ef2c3a50-5ba7-4f7d-a0e1-e702df97c610 | Smart Coding
b8586cd8-c056-4b29-98bd-7ccc6ad80521 | Static Analysis
457acee4-2a8f-4ea1-a351-8fa9a7a982d3 | Text Editor
c9d546b1-4e1f-47ac-91a8-da252ae3927a | Text List
935c8124-71b3-4956-ac90-0a9b2624dcb6 | Trace
5b8b9130-d935-4c5b-a7b8-c2c0a10ffd52 | Undo/Redo
ec6d0a8d-67ec-4fe5-bf8a-2e1d83be1847 | User Management
7550cc92-8a35-4635-a6a8-7b1882215928 | View 
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | Visual Commands
9238ba34-691e-47fa-ab85-9fc5919e74f1 | Visualization Manager
f5e1f8e5-8eb7-481a-aa37-562f7bc9c464 | Window


Commands [743]
-------------------------------------+--------------------------------------+------------------------------------------------------------
Category Guid                        | Command Guid                         | Name
-------------------------------------+--------------------------------------+------------------------------------------------------------
737b5cab-ca01-49b1-b766-1c41d35645df | 2cb3fd15-500c-4a2a-b018-f6c4ee04ab94 | Update Recipe GUIDs
61aca6d6-f298-47be-972e-99601e7e9410 | 4f4611ee-4a7f-4d83-b59b-ad0469b2e32b | Generate EtherCAT XML
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 782e71ea-2b8d-400e-a630-404a21fc699b | Replace old trace elements by new ones for all visualizations of project
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 3ac8548f-0329-415b-a538-f3ae25496ebf | Replace old trace elements by new ones
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | df2eb79b-29da-4c1c-84af-cc6d606890cc | Background
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 04f25b75-8ebf-41f2-86b5-8a7b4153c1d2 | Select All
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 85a0df4a-d8eb-4790-8f05-70b0b54458ed | Select None
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | c2b51fc7-2f6a-4035-9e17-15a524fe49c0 | Align Left
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 55c24226-d2d4-440f-a29a-17fec9cfc21d | Align Right
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 66bca50b-1c93-4879-9832-b975e60d7742 | Align Horizontal Center
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | bd93da1c-7d70-46c1-be3c-d48071d3d6a2 | Align Top
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | bde710de-7a41-45a7-b4d5-082472669f11 | Align Bottom
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | c5f3a3e1-0cb7-4410-acc2-b823d593f198 | Align Vertical Center
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 55ca4c71-6007-4fae-ac3d-7fbb8884f9a3 | Make vertical spacing equal
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 5c240f3d-b7b9-44e8-9c77-b52385d1fc9e | Make horizontal spacing equal
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 0346538f-3106-42fa-b8f0-b0277244a346 | Increase horizontal spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 6ee794bf-fb33-47ee-a62e-206dd85e5992 | Decrease horizontal spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | f91bb024-d4c8-49af-8174-d61dfbb3fc0d | Remove horizontal spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 8d2938fa-9778-4534-ba80-625f5025f330 | Increase vertical spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 4d512295-a029-4280-8a6a-631fcb039ec2 | Decrease vertical spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 9cfbb0ff-e581-455c-99db-60b82eeae22b | Remove vertical spacing
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | c48e34a3-bcae-44e0-9241-1289b50c587b | Make same width
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | dd45c127-14d2-47e3-90ec-d0ffb009a6f5 | Make same heigth
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 04afcb66-352f-495e-83b4-bed29eeb4ecf | Make same size
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | dec2e780-98e8-4f46-9bdc-d02b70de060e | Size to grid
a1e02de2-f18a-4ea4-b2dc-56537264bc62 | 85b7c280-5694-4dcb-919e-04d29148d982 | Bring to Front
